scope,question_id,k,precision,recall,hit_rate,reciprocal_rank,relevant_retrieved,expected_retrieved,expected_total,first_relevant_rank
query,q01_existing_registration_email,1,1.0,1.0,1.0,1.0,1,1,1,1
query,q01_existing_registration_email,3,0.3333333333333333,1.0,1.0,1.0,1,1,1,1
query,q01_existing_registration_email,5,0.2,1.0,1.0,1.0,1,1,1,1
query,q01_existing_registration_email,10,0.1,1.0,1.0,1.0,1,1,1,1
query,q01_existing_registration_email,20,0.05,1.0,1.0,1.0,1,1,1,1
query,q01_existing_registration_email,40,0.025,1.0,1.0,1.0,1,1,1,1
query,q02_completed_tasks_plan_limit,1,1.0,0.5,1.0,1.0,1,1,2,1
query,q02_completed_tasks_plan_limit,3,0.3333333333333333,0.5,1.0,1.0,1,1,2,1
query,q02_completed_tasks_plan_limit,5,0.2,0.5,1.0,1.0,1,1,2,1
query,q02_completed_tasks_plan_limit,10,0.2,1.0,1.0,1.0,2,2,2,1
query,q02_completed_tasks_plan_limit,20,0.1,1.0,1.0,1.0,2,2,2,1
query,q02_completed_tasks_plan_limit,40,0.05,1.0,1.0,1.0,2,2,2,1
query,q03_admin_complete_other_user_task,1,0.0,0.0,0.0,0.0,0,0,2,
query,q03_admin_complete_other_user_task,3,0.3333333333333333,0.5,1.0,0.3333333333333333,1,1,2,3
query,q03_admin_complete_other_user_task,5,0.4,1.0,1.0,0.3333333333333333,2,2,2,3
query,q03_admin_complete_other_user_task,10,0.2,1.0,1.0,0.3333333333333333,2,2,2,3
query,q03_admin_complete_other_user_task,20,0.1,1.0,1.0,0.3333333333333333,2,2,2,3
query,q03_admin_complete_other_user_task,40,0.05,1.0,1.0,0.3333333333333333,2,2,2,3
query,q04_due_schedule_at_plan_cap,1,1.0,0.5,1.0,1.0,1,1,2,1
query,q04_due_schedule_at_plan_cap,3,0.6666666666666666,1.0,1.0,1.0,2,2,2,1
query,q04_due_schedule_at_plan_cap,5,0.4,1.0,1.0,1.0,2,2,2,1
query,q04_due_schedule_at_plan_cap,10,0.2,1.0,1.0,1.0,2,2,2,1
query,q04_due_schedule_at_plan_cap,20,0.1,1.0,1.0,1.0,2,2,2,1
query,q04_due_schedule_at_plan_cap,40,0.05,1.0,1.0,1.0,2,2,2,1
aggregate,ALL_SUPPORTED,1,0.75,0.5,0.75,0.75,,,,
aggregate,ALL_SUPPORTED,3,0.41666666666666663,0.75,1.0,0.8333333333333334,,,,
aggregate,ALL_SUPPORTED,5,0.30000000000000004,0.875,1.0,0.8333333333333334,,,,
aggregate,ALL_SUPPORTED,10,0.17500000000000002,1.0,1.0,0.8333333333333334,,,,
aggregate,ALL_SUPPORTED,20,0.08750000000000001,1.0,1.0,0.8333333333333334,,,,
aggregate,ALL_SUPPORTED,40,0.043750000000000004,1.0,1.0,0.8333333333333334,,,,
